ID,Kanton,Ort,Unternehmen
CHE-381.184.891,SG - St. Gallen,Rüthi (SG),Bäckerei Konditorei Zeller AG
CHE-112.279.795,FR - Fribourg,Kerzers,Bäckerei Krähenbühl GmbH
CHE-106.785.541,VS - Brig (Oberwallis),Mörel-Filet,Bäckerei Kronig Charly
CHE-251.235.804,LU - Luzern,Grosswangen,Bäckerei Krummenacher AG
CHE-492.709.723,TG - Thurgau,Altnau,Bäckerei Kunz GmbH
CHE-105.828.515,SG - St. Gallen,St. Margrethen,Bäckerei Künzler GmbH
CHE-115.132.898,AI - Appenzell I. Rh.,Rüte,BÄCKEREI - KONDITOREI FÄSSLER
CHE-109.386.806,AG - Aargau,Aarau,"Bäckerei - Konditorei Furter, Nachfolger Mario Monaco-Oesch"
CHE-114.920.189,BE - Bern,St. Stephan,Bäckerei - Konditorei Gübeli
CHE-107.066.035,AG - Aargau,Muhen,Bäckerei - Konditorei Hermann
CHE-106.154.151,BE - Bern,Orpund,Bäckerei - Konditorei Jean-Pierre Grindat
CHE-107.148.259,BE - Bern,Zollikofen,Bäckerei - Konditorei Leuenberger
CHE-200.539.725,AG - Aargau,Böttstein,Bäckerei - Konditorei Maier GmbH
CHE-105.728.428,GL - Glarus,Glarus Nord,Bäckerei - Konditorei Märchy GmbH
CHE-107.695.188,GR - Graubünden,Scuol,Bäckerei - Konditorei Not Clalüna
CHE-112.494.017,SO - Solothurn,Kappel (SO),Bäckerei - Konditorei Unternährer & Co
CHE-105.751.657,BE - Bern,Ostermundigen,Bäckerei-Konditorei Ch. + I. Muralt
CHE-112.128.512,ZH - Zürich,Uster,Bäckerei-Konditorei Daniel Brunner
CHE-105.591.342,BE - Bern,Ostermundigen,Bäckerei-Konditorei Dänzer GmbH
CHE-106.967.585,ZH - Zürich,Illnau-Effretikon,Bäckerei-Konditorei Doris Nüssli
CHE-359.547.656,SG - St. Gallen,Wil (SG),Bäckerei-Konditorei Eberle AG
CHE-107.988.549,BE - Bern,Reutigen,"Bäckerei-Konditorei Eggen, T. Manetsch-Lutz"
CHE-400.182.498,LU - Luzern,Hasle (LU),Bäckerei-Konditorei Emmenegger GmbH
CHE-114.402.718,BE - Bern,Rohrbach,Bäckerei-Konditorei Esther Reinbold-Friedli
CHE-107.972.666,SG - St. Gallen,Ebnat-Kappel,Bäckerei-Konditorei Forrer
CHE-109.472.587,AG - Aargau,Obersiggenthal,Bäckerei-Konditorei Frei AG
CHE-105.986.692,BE - Bern,Erlenbach im Simmental,Bäckerei-Konditorei Bieri Alfred
CHE-112.752.219,ZH - Zürich,Hinwil,Bäckerei-Konditorei Bolliger
CHE-388.691.628,SO - Solothurn,Dulliken,Bäckerei-Konditorei Borer GmbH
CHE-110.352.599,ZH - Zürich,Winterthur,Bäckerei-Konditorei Börner
