8.04,Maillard,Sandy,1993,"étudiante en lettres, enseignante secondaire / Philosophiestudentin, Sekundarlehrerin",,Vuadens,886,
8.05,Michellod,Savio,1985,"juriste, conseiller communal, secrétaire PLRF / Jurist, Gemeinderat, Sekretär FDPF",,Granges (Veveyse),775,
8.06,Noël,Colin,1992,conseiller en assurances / Versicherungsberater,,Rossens,575,
8.07,Winkelmann,Fabian,1994,"étudiant, jeune entrepreneur / Student, Jungunternehmer",,Murten/Morat,1'061,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,9,Junge SVP Freiburg,,,,,
Kürzel,,JSVPF,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,8'095,,,,,
Zusatzstimmen,,,330,,,,,
Parteistimmen,,,8'425,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
9.01,Marchand,Anthony,1994,étudiant / Student,,Vesin,1'031,
9.02,Godel,Stiobban,1992,agriculteur / Landwirt,,Estavayer-le-Gibloux,1'100,
9.03,Gendre,Rémy,1992,étudiant / Student,,Neyruz,733,
9.04,Li Rosi,Michaël,1986,gestionnaire de vente / Detailhandelsfachmann,,Fribourg/Freiburg,674,
9.05,Zosso,Claudia,1987,employée de banque /Bankfachfrau,,Schmitten,1'774,
9.06,Kolly,Sébastien,1990,fromager / Käser,,Corbières,1'983,
9.07,Mages,Dimitri,1995,employé de commerce / Kaufmännischer Angestellter,,Marly,800,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,10,Junge CVP Grossfreiburg,,,,,
Kürzel,,JCVP GF,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,3'459,,,,,
Zusatzstimmen,,,151,,,,,
Parteistimmen,,,3'610,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
